TAREA: ZELDA_CL


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,12,100.0
2,16,100.0
3,17,100.0
4,2,100.0
5,216,100.0
6,-1000,95.0
7,0,100.0
8,14,100.0
9,16,100.0
10,1,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,6,100.0
2,6,100.0
3,6,100.0
4,6,100.0
5,6,100.0
6,6,100.0
7,6,100.0
8,6,100.0
9,6,100.0
10,6,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,217,100.0
2,217,100.0
3,218,100.0
4,-1000,10.0
5,18,100.0
6,217,100.0
7,217,100.0
8,-1000,10.0
9,217,100.0
10,17,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,6,100.0
2,6,100.0
3,6,100.0
4,6,100.0
5,6,100.0
6,6,100.0
7,6,100.0
8,6,100.0
9,6,100.0
10,6,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,87.0
2,8,100.0
3,8,100.0
4,8,100.0
5,8,100.0
6,8,100.0
7,8,100.0
8,8,100.0
9,8,100.0
10,8,100.0

