TAREA: ZELDA_UPPERBOUND


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,0,100.0
2,0,100.0
3,0,100.0
4,-1000,47.0
5,0,100.0
6,24,100.0
7,0,100.0
8,0,100.0
9,0,100.0
10,0,100.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,194,100.0
2,213,100.0
3,200,100.0
4,178,100.0
5,22,100.0
6,162,100.0
7,182,100.0
8,117,100.0
9,24,100.0
10,225,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,10.0
2,-1000,10.0
3,-1000,10.0
4,-1000,10.0
5,-1000,10.0
6,-1000,10.0
7,-1000,10.0
8,-1000,10.0
9,-1000,10.0
10,-1000,10.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,15,100.0
2,17,100.0
3,-1000,39.0
4,-1000,86.0
5,28,100.0
6,14,100.0
7,-1000,33.0
8,35,100.0
9,-1000,98.0
10,20,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,16,100.0
2,20,100.0
3,-1000,84.0
4,-1000,6.0
5,23,100.0
6,-1000,6.0
7,19,100.0
8,21,100.0
9,28,100.0
10,-1000,6.0

