TAREA: ZELDA_CL_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-859,100.0
2,-1000,9.0
3,-1000,84.0
4,-1000,9.0
5,-1000,9.0
6,-1000,8.0
7,-1000,71.0
8,-1000,28.0
9,-890,100.0
10,-1000,28.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,65.0
2,12,100.0
3,-1000,42.0
4,205,100.0
5,112,100.0
6,-11,100.0
7,-1000,79.0
8,237,100.0
9,-1000,90.0
10,-1000,95.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-723,100.0
2,-568,100.0
3,-509,100.0
4,-311,100.0
5,-1000,100.0
6,-1000,100.0
7,-1000,100.0
8,-613,100.0
9,-1000,100.0
10,-723,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,7.0
2,-1000,8.0
3,-1000,7.0
4,-837,100.0
5,-1000,8.0
6,-1000,8.0
7,-1000,8.0
8,-1000,8.0
9,-1000,8.0
10,-1000,7.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,244,100.0
2,233,100.0
3,34,100.0
4,225,100.0
5,231,100.0
6,185,100.0
7,233,100.0
8,35,100.0
9,241,100.0
10,246,100.0

