TAREA: ZELDA_R_BETA


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos
1,-1000,16.0
2,-1000,23.0
3,-1000,36.0
4,-1000,9.0
5,-1000,11.0
6,-1000,97.0
7,-1000,92.0
8,-1000,45.0
9,-1000,39.0
10,-1000,22.0

Mapa 1: zelda_1.txt
Episodio,TotalReward,Pasos
1,-1000,53.0
2,-1000,9.0
3,-1000,68.0
4,-1000,64.0
5,-1000,39.0
6,-1000,39.0
7,-1000,93.0
8,217,100.0
9,108,100.0
10,-60,100.0

Mapa 2: zelda_2.txt
Episodio,TotalReward,Pasos
1,-1000,10.0
2,-1000,51.0
3,-1000,87.0
4,-1000,68.0
5,-1000,7.0
6,-1000,55.0
7,-1000,69.0
8,-1000,17.0
9,376,100.0
10,99,100.0

Mapa 3: zelda_3.txt
Episodio,TotalReward,Pasos
1,-1000,41.0
2,-148,100.0
3,-109,100.0
4,133,100.0
5,-1000,7.0
6,-1000,91.0
7,-1000,9.0
8,-1000,18.0
9,-1000,84.0
10,-180,100.0

Mapa 4: zelda_4.txt
Episodio,TotalReward,Pasos
1,-1000,10.0
2,185,100.0
3,-1000,15.0
4,-1000,13.0
5,-1000,13.0
6,-1000,62.0
7,-1000,76.0
8,-1000,6.0
9,-1000,34.0
10,-1000,40.0

