TAREA: ZELDA_INVERSE_CL_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
46,-161,6.0,-1000
47,185,100.0,185
48,176,100.0,176
49,357,100.0,357
50,724,100.0,724
MEAN,269.32,86.34,122.94
WINS,0.0


,reward_M,step_M,score_M
TOTAL_MEANS,-142.57199999999997,80.332,-439.17599999999993
TOTAL_WINS,0.0
Win_MEAN,0.0
