TAREA: ZELDA_CL


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
37,-68,78.0,-1000
38,-65,64.0,-1000
39,-76,64.0,-1000
40,-70,80.0,-1000
41,-65,64.0,-1000
42,-65,64.0,-1000
43,-79,78.0,-1000
44,-70,80.0,-1000
45,-56,66.0,-1000
46,-23,66.0,-1000
47,-48,80.0,-1000
48,-68,78.0,-1000
49,-75,65.0,-1000
50,-34,66.0,-1000
MEAN,-66.18,67.24,-1000.0
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,30.416000000000004,43.775999999999996,-712.096
TOTAL_WINS,4.0
Win_MEAN,0.8
