TAREA: ZELDA_SIMPLE


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
45,-63,18.0,-1000
46,170,100.0,170
47,61,70.0,-1000
48,43,88.0,-1000
49,190,100.0,190
50,285,100.0,285
MEAN,85.14,68.54,-420.8
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,109.604,52.35600000000001,-495.584
TOTAL_WINS,8.0
Win_MEAN,1.6
