TAREA: ZELDA_UPPERBOUND


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
37,551,100.0,551
38,-200,75.0,-1000
39,412,40.0,-1000
40,-132,61.0,-1000
41,488,100.0,488
42,551,100.0,551
43,285,59.0,-1000
44,164,81.0,-1000
45,-170,72.0,-1000
46,381,44.0,-1000
47,394,49.0,-1000
48,372,44.0,-1000
49,370,46.0,-1000
50,533,100.0,533
MEAN,218.7,64.04,-684.48
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,273.56,38.016,-529.0559999999999
TOTAL_WINS,31.0
Win_MEAN,6.2
