"TAREA:","ZELDA_REPTILE",,,,,
20,756,"100.0",756,,,
21,125,"52.0",-1000,,,
22,738,"100.0",738,,,
23,483,"70.0",-1000,,,
24,-93,"15.0",-1000,,,
25,-62,"17.0",-1000,,,
26,-151,"7.0",-1000,,,
27,-5,"93.0",-1000,,,
28,-47,"65.0",-1000,,,
29,-113,"13.0",-1000,,,
30,-26,"100.0",-26,,,
31,33,"73.0",-1000,,,
32,-77,"21.0",-1000,,,
33,-43,"26.0",-1000,,,
34,324,"100.0",324,,,
35,-151,"7.0",-1000,,,
36,-151,"7.0",-1000,,,
37,-9,"80.0",-1000,,,
38,-14,"24.0",-1000,,,
39,880,"100.0",880,,,
40,-96,"35.0",-1000,,,
41,1744,"69.0",1000,,,
42,-151,"7.0",-1000,,,
43,306,"53.0",-1000,,,
44,-151,"7.0",-1000,,,
45,-141,"8.0",-1000,,,
46,620,"83.0",-1000,,,
47,-141,"8.0",-1000,,,
48,588,"74.0",-1000,,,
49,4,"39.0",-1000,,,
50,-65,"20.0",-1000,,,
"MEAN","157.22","42.08","-705.66",,,
"WINS","3.0",,,,,
,,,,,,
,,,,,,
"Mapa",04:00:00,"zelda_4.txt",,,,
"Episodio","TotalReward","Pasos","Score",,,
1,182,"100.0",182,,,
2,34,"35.0",-1000,,,
3,270,"100.0",270,,,
4,-51,"38.0",-1000,,,
5,1751,"37.0",1000,,,
6,-13,"73.0",-1000,,,
7,322,"100.0",322,,,
8,-120,"9.0",-1000,,,
9,-7,"28.0",-1000,,,
10,-73,"19.0",-1000,,,
11,-120,"9.0",-1000,,,
12,-67,"94.0",-1000,,,
13,-161,"6.0",-1000,,,
14,104,"100.0",104,,,
15,29,"42.0",-1000,,,
16,318,"100.0",318,,,
17,-176,"26.0",-1000,,,
18,-27,"85.0",-1000,,,
19,-40,"55.0",-1000,,,
20,-120,"9.0",-1000,,,
21,-120,"9.0",-1000,,,
22,1522,"71.0",1000,,,
23,-39,"40.0",-1000,,,
24,-17,"33.0",-1000,,,
25,-126,"15.0",-1000,,,
26,-161,"6.0",-1000,,,
27,255,"100.0",255,,,
28,-145,"59.0",-1000,,,
29,1811,"91.0",1000,,,
30,-51,"32.0",-1000,,,
31,760,"100.0",760,,,
32,-42,"30.0",-1000,,,
33,-125,"14.0",-1000,,,
34,459,"40.0",-1000,,,
35,-120,"9.0",-1000,,,
36,373,"100.0",373,,,
37,62,"100.0",62,,,
38,-120,"9.0",-1000,,,
39,-120,"9.0",-1000,,,
40,225,"100.0",225,,,
41,-120,"9.0",-1000,,,
42,733,"100.0",733,,,
43,-60,"94.0",-1000,,,
44,55,"71.0",-1000,,,
45,-161,"6.0",-1000,,,
46,166,"100.0",166,,,
47,135,"100.0",135,,,
48,164,"100.0",164,,,
49,-161,"6.0",-1000,,,
50,8,"37.0",-1000,,,
"MEAN","141.5","53.1","-518.62",,,"-718,484"
"WINS","3.0",,,,,"41,344"
,,,,,,"79,076"
,,,,,,
,"reward_M","step_M","score_M",,,
"TOTAS_MEANS",79076,41344,"-718.4839999999999",,,
"TOTAL_WINS","13.0",,,,,
"Win_MEAN","2.6",,,,,
