TAREA: ZELDA_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
35,-124,13.0,-1000
36,-121,10.0,-1000
37,-35,25.0,-1000
38,-25,28.0,-1000
39,-120,9.0,-1000
40,-120,9.0,-1000
41,-120,9.0,-1000
42,-120,9.0,-1000
43,-120,9.0,-1000
44,-120,9.0,-1000
45,237,100.0,237
46,-502,76.0,-1000
47,131,93.0,-1000
48,-121,10.0,-1000
49,-120,9.0,-1000
50,59,93.0,-1000
MEAN,41.1,41.52,-592.3
WINS,2.0


,reward_M,step_M,score_M
TOTAS_MEANS,97.5,43.864000000000004,-567.708
TOTAL_WINS,26.0
Win_MEAN,5.2
