TAREA: ZELDA_R2


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
32,-23,22.0,-1000
33,-121,10.0,-1000
34,-120,9.0,-1000
35,-121,10.0,-1000
36,-121,10.0,-1000
37,441,100.0,441
38,-23,22.0,-1000
39,179,75.0,-1000
40,-23,22.0,-1000
41,383,100.0,383
42,-43,20.0,-1000
43,-121,10.0,-1000
44,108,47.0,-1000
45,-63,18.0,-1000
46,69,53.0,-1000
47,-121,10.0,-1000
48,260,100.0,260
49,-43,20.0,-1000
50,-3,24.0,-1000
MEAN,27.8,40.3,-862.84
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,83.15600000000002,34.303999999999995,-776.4080000000001
TOTAL_WINS,12.0
Win_MEAN,2.4
