TAREA: ZELDA_CL_R_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
33,558,62.0,-1000
34,134,85.0,-1000
35,106,47.0,-1000
36,-120,9.0,-1000
37,25,29.0,-1000
38,-121,10.0,-1000
39,-20,96.0,-1000
40,-121,10.0,-1000
41,-121,10.0,-1000
42,-121,10.0,-1000
43,631,100.0,631
44,-121,10.0,-1000
45,-121,10.0,-1000
46,-121,10.0,-1000
47,5,27.0,-1000
48,-121,10.0,-1000
49,-120,9.0,-1000
50,-161,6.0,-1000
MEAN,43.62,32.86,-900.44
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,81.45199999999998,36.34000000000001,-930.868
TOTAL_WINS,2.0
Win_MEAN,0.4
