TAREA: ZELDA_R_BETA_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
43,162,100.0,162
44,-269,58.0,-1000
45,-124,13.0,-1000
46,-169,14.0,-1000
47,127,100.0,127
48,16,100.0,16
49,-176,12.0,-1000
50,-116,46.0,-1000
MEAN,48.74,64.04,-407.88
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,41.16,63.620000000000005,-475.63599999999997
TOTAL_WINS,1.0
Win_MEAN,0.2
