TAREA: ZELDA_R_INVERSE_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
35,140,100.0,140
36,15,43.0,-1000
37,-186,17.0,-1000
38,-142,9.0,-1000
39,432,51.0,-1000
40,122,100.0,122
41,-42,94.0,-1000
42,193,100.0,193
43,-103,18.0,-1000
44,-135,53.0,-1000
45,-216,20.0,-1000
46,712,100.0,712
47,-59,27.0,-1000
48,122,100.0,122
49,1698,89.0,1000
50,-38,80.0,-1000
MEAN,139.02,62.82,-587.18
WINS,3.0


,reward_M,step_M,score_M
TOTAL_MEANS,53.715999999999994,50.664,-700.6919999999999
TOTAL_WINS,7.0
Win_MEAN,1.4
