TAREA: ZELDA_CL_R_BETA_ORDER


Mapa 0: zelda_0.txt
Episodio,TotalReward,Pasos,Score
39,615,100.0,615
40,665,100.0,665
41,-164,9.0,-1000
42,779,100.0,779
43,798,100.0,798
44,-161,6.0,-1000
45,-161,6.0,-1000
46,630,100.0,630
47,637,100.0,637
48,663,100.0,663
49,-161,6.0,-1000
50,607,100.0,607
MEAN,331.38,66.36,-46.22
WINS,0.0


,reward_M,step_M,score_M
TOTAS_MEANS,99.5,64.336,-404.748
TOTAL_WINS,14.0
Win_MEAN,2.8
